Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-06-01,711.05,723.0,711.0,715.75,715.71,1283.0,163.0,918262.0,568.0,44.27,12.0,4.7
2017-05-31,707.65,717.9,702.0,713.5,711.7,1359.0,107.0,967207.0,502.0,36.94,15.9,5.85
2017-05-30,703.1,707.5,699.8,703.35,702.96,1483.0,123.0,1042489.0,689.0,46.46,7.7,0.25
2017-05-29,707.0,714.05,700.0,705.7,707.03,153402.0,292.0,108460021.0,150796.0,98.3,14.05,-1.3
2017-05-26,701.0,716.7,700.0,707.35,709.99,1688.0,147.0,1198462.0,629.0,37.26,16.7,6.35
2017-05-25,692.0,699.5,690.0,697.4,695.96,693.0,64.0,482300.0,342.0,49.35,9.5,5.4
2017-05-24,694.15,696.7,684.6,688.25,688.39,1821.0,155.0,1253557.0,703.0,38.61,12.1,-5.9
2017-05-23,714.05,714.05,685.15,694.15,694.74,2075.0,197.0,1441595.0,1005.0,48.43,28.9,-19.9
2017-05-22,732.9,732.9,706.3,708.7,716.01,3028.0,132.0,2168088.0,2139.0,70.64,26.6,-24.2
2017-05-19,729.9,733.5,717.55,720.7,721.81,3577.0,196.0,2581925.0,1814.0,50.71,15.95,-9.2
2017-05-18,737.85,743.0,726.3,732.2,731.61,1387.0,112.0,1014742.0,711.0,51.26,16.7,-5.65
2017-05-17,740.45,756.0,735.0,743.3,740.54,2795.0,181.0,2069820.0,1151.0,41.18,21.0,2.85
2017-05-16,725.9,743.0,725.9,739.8,736.77,2908.0,218.0,2142533.0,1241.0,42.68,17.1,13.9
2017-05-15,721.0,740.6,716.0,727.25,728.67,4646.0,333.0,3385413.0,882.0,18.98,24.6,6.25
2017-05-12,723.0,742.0,721.0,733.05,732.74,6005.0,405.0,4400083.0,1839.0,30.62,21.0,10.05
2017-05-11,736.9,754.1,730.0,735.85,744.76,8888.0,625.0,6619409.0,2563.0,28.84,24.1,-1.05
2017-05-10,760.0,770.0,728.75,735.5,741.53,22734.0,1378.0,16857917.0,4768.0,20.97,41.25,-24.5
2017-05-09,730.1,730.1,712.0,716.65,719.04,1718.0,115.0,1235310.0,613.0,35.68,18.1,-13.45
2017-05-08,714.6,723.0,714.0,717.6,717.81,1239.0,96.0,889370.0,511.0,41.24,9.0,3.0
2017-05-05,710.15,711.0,705.0,707.55,707.83,639.0,66.0,452301.0,332.0,51.96,6.0,-2.6
2017-05-04,721.9,721.9,707.15,711.05,715.77,1484.0,136.0,1062205.0,541.0,36.46,14.75,-10.85
